book,name,team,opponent,game_date,prop_type,line,odds_over,odds_under,mkt_p_over,mkt_p_under,model_p_over,pick_side,pick_edge_bp,pick_prob,pick_odds,bet_flag,kelly_frac,pred_mean,resid_sd_used
caesars,Royce O'Neale,PHX,LAC,2025-11-06,pra,17.5,-107.0,-127.0,0.4802285578710111,0.519771442128989,0.4016243101175081,Under,7.860424775350294,0.5983756898824919,-127.0,True,0.02,14.519578902651682,11.962596378109543
draftkings,Ryan Dunn,PHX,LAC,2025-11-06,pra,15.5,-113.0,-115.0,0.49795039967206395,0.502049600327936,0.46734036774882703,Under,3.061003192323697,0.532659632251173,-115.0,True,0.0,14.519578902651682,11.962596378109543
fanduel,Ryan Dunn,PHX,LAC,2025-11-06,pra,15.5,-112.0,-118.0,0.4939310568053083,0.5060689431946916,0.46734036774882703,Under,2.659068905648132,0.532659632251173,-118.0,True,0.0,14.519578902651682,11.962596378109543
caesars,Ryan Dunn,PHX,LAC,2025-11-06,pra,15.5,-115.0,-117.0,0.49800439034124927,0.5019956096587508,0.46734036774882703,Under,3.066402259242218,0.532659632251173,-117.0,True,0.0,14.519578902651682,11.962596378109543
draftkings,Bogdan Bogdanovic,LAC,PHX,2025-11-06,pts,11.5,-109.0,-117.0,0.4916850288945246,0.5083149711054754,0.36829804562109725,Under,12.338698327342733,0.6317019543789028,-117.0,True,0.02,8.541714946542385,8.79488152591424
fanduel,Bogdan Bogdanovic,LAC,PHX,2025-11-06,pts,11.5,-112.0,-118.0,0.4939310568053083,0.5060689431946916,0.36829804562109725,Under,12.56330111842111,0.6317019543789028,-118.0,True,0.02,8.541714946542385,8.79488152591424
caesars,Bogdan Bogdanovic,LAC,PHX,2025-11-06,pts,11.5,-114.0,-118.0,0.496008302730321,0.5039916972696792,0.36829804562109725,Under,12.771025710922357,0.6317019543789028,-118.0,True,0.02,8.541714946542385,8.79488152591424
draftkings,Bradley Beal,LAC,PHX,2025-11-06,pts,14.5,-117.0,-109.0,0.5083149711054754,0.4916850288945246,0.2490532980858864,Under,25.926167301958902,0.7509467019141136,-109.0,True,0.02,8.541714946542385,8.79488152591424
fanduel,Bradley Beal,LAC,PHX,2025-11-06,pts,14.5,-104.0,-128.0,0.47591522157996147,0.5240847784200385,0.2490532980858864,Under,22.68619234940751,0.7509467019141136,-128.0,True,0.02,8.541714946542385,8.79488152591424
caesars,Bradley Beal,LAC,PHX,2025-11-06,pts,14.5,-114.0,-118.0,0.496008302730321,0.5039916972696792,0.2490532980858864,Under,24.69550046444344,0.7509467019141136,-118.0,True,0.02,8.541714946542385,8.79488152591424
hardrock,Bradley Beal,LAC,PHX,2025-11-06,pts,13.5,-130.0,100.0,0.5306122448979592,0.4693877551020409,0.28645554079983226,Under,24.415670409812684,0.7135444592001677,100.0,True,0.02,8.541714946542385,8.79488152591424
draftkings,Brook Lopez,LAC,PHX,2025-11-06,pts,6.5,-126.0,-102.0,0.524740227610094,0.475259772389906,0.5917885026679185,Over,6.704827505782451,0.5917885026679185,-126.0,True,0.02,8.541714946542385,8.79488152591424
fanduel,Brook Lopez,LAC,PHX,2025-11-06,pts,6.5,-110.0,-120.0,0.48987854251012153,0.5101214574898786,0.5917885026679185,Over,10.190996015779696,0.5917885026679185,-110.0,True,0.02,8.541714946542385,8.79488152591424
caesars,Brook Lopez,LAC,PHX,2025-11-06,pts,6.5,-114.0,-118.0,0.496008302730321,0.5039916972696792,0.5917885026679185,Over,9.578019993759751,0.5917885026679185,-114.0,True,0.02,8.541714946542385,8.79488152591424
hardrock,Brook Lopez,LAC,PHX,2025-11-06,pts,7.5,-105.0,-130.0,0.4753937007874017,0.5246062992125985,0.5471426984884566,Over,7.1748997701054975,0.5471426984884566,-105.0,True,0.02,8.541714946542385,8.79488152591424
draftkings,Chris Paul,LAC,PHX,2025-11-06,pts,6.5,-115.0,-111.0,0.5041554124246831,0.4958445875753168,0.5917885026679185,Over,8.76330902432354,0.5917885026679185,-115.0,True,0.02,8.541714946542385,8.79488152591424
